__lmer_samples__,expected,rel_pupil,rts,subID
30,expected,-0.0235645948914172,-90.16747769667472,47
30,expected,-0.0016326819858208275,-29.167477696674723,47
30,expected,0.018055443846865683,-55.16747769667472,47
30,expected,-0.09574462258095343,-121.16747769667472,47
30,expected,0.15253056752222016,203.83252230332528,47
30,expected,0.12590523943641524,-188.16747769667472,47
30,unexpected,-0.06325249480876863,-90.16747769667472,47
30,expected,0.20683526139881375,484.8325223033253,47
30,expected,-0.08488964274873764,-137.16747769667472,47
30,expected,0.06244089435267215,-34.16747769667472,47
30,expected,-0.12577288463618835,-57.16747769667472,47
30,expected,0.1295285710158435,0.8325223033252769,47
30,expected,-0.09126723206533241,-98.16747769667472,47
30,expected,0.16491982924227266,-19.167477696674723,47
30,expected,-0.009434286825160365,267.8325223033253,47
30,expected,0.225975795688113,-188.16747769667472,47
30,unexpected,0.0020022284987937233,-69.16747769667472,47
30,expected,-0.13717301766027976,-20.167477696674723,47
30,expected,0.15796281063720913,-0.16747769667472312,47
30,expected,-0.11282377904860455,-160.16747769667472,47
30,unexpected,0.11639025562307892,14.832522303325277,47
30,expected,0.041758346743233685,98.83252230332528,47
30,expected,0.06151417825690601,-77.16747769667472,47
30,expected,0.01665418706785058,140.83252230332528,47
30,expected,-0.03238821858447092,36.83252230332528,47
30,expected,0.13119817063001,-67.16747769667472,47
30,expected,0.11423083970618757,0.8325223033252769,47
30,expected,-0.12831567481670425,15.832522303325277,47
30,expected,-0.10396242061654219,-29.167477696674723,47
30,unexpected,0.2803711070642323,-205.16747769667472,47
30,expected,-0.12456559447535928,-56.16747769667472,47
30,unexpected,0.1081658238341093,-41.16747769667472,47
30,expected,-0.054326748165314284,143.83252230332528,47
30,expected,0.0881506484877208,-65.16747769667472,47
30,expected,0.11498884880893553,111.83252230332528,47
30,expected,-0.07214814883645326,-0.16747769667472312,47
30,expected,0.3053040410359587,-55.16747769667472,47
30,expected,-0.04556895463892614,-127.16747769667472,47
30,expected,0.19194342748179832,65.83252230332528,47
30,expected,0.2024313729198957,215.83252230332528,47
30,unexpected,-0.27996936693633084,66.83252230332528,47
30,expected,0.2660197325353427,-16.167477696674723,47
30,expected,-0.16875459014833066,-72.16747769667472,47
30,expected,0.16130982657891502,52.83252230332528,47
30,expected,-0.015404990002705076,-190.16747769667472,47
30,unexpected,0.00911017599611701,-39.16747769667472,47
30,expected,0.09906498753188253,-169.16747769667472,47
30,expected,-0.005427143435101289,309.8325223033253,47
30,expected,0.1484104691156663,30.832522303325277,47
30,expected,-0.05240146298576116,-57.16747769667472,47
30,expected,0.05130572662262676,-49.16747769667472,47
30,expected,0.12058017793308662,91.83252230332528,47
30,expected,0.0025321947192660232,-152.16747769667472,47
30,expected,-0.056903585850850466,-32.16747769667472,47
30,expected,0.08496577930870859,-192.16747769667472,47
30,expected,-0.04283822876467824,11.832522303325277,47
30,unexpected,-0.20286164173648197,-127.16747769667472,47
30,expected,0.29162601900670826,-127.16747769667472,47
30,expected,-0.3434751878267196,-113.16747769667472,47
30,expected,0.31629247307605535,-150.16747769667472,47
30,expected,-0.1185340930337917,38.83252230332528,47
30,unexpected,-0.05119551113869538,-25.167477696674723,47
30,expected,0.017567194310268163,-68.16747769667472,47
30,expected,0.08278158515749974,-99.16747769667472,47
30,expected,-0.06270187182991024,-78.16747769667472,47
30,expected,0.0712504990538835,-237.16747769667472,47
30,expected,0.11653722139607803,75.83252230332528,47
30,expected,-0.1810908322803028,-148.16747769667472,47
30,expected,0.18254892600052736,-146.16747769667472,47
30,expected,-0.04142139362718149,-158.16747769667472,47
30,expected,0.01965830419238297,-207.16747769667472,47
30,unexpected,0.011910322894242542,-221.16747769667472,47
30,expected,0.05722842225042677,262.8325223033253,47
30,unexpected,-0.15942320033675697,-129.16747769667472,47
30,expected,0.014428096453658057,-61.16747769667472,47
30,expected,-0.14348388112388633,-9.167477696674723,47
30,expected,-0.017568112410008708,-45.16747769667472,47
30,unexpected,0.0558453529366846,146.83252230332528,47
30,expected,-0.06487194434796648,-124.16747769667472,47
30,expected,0.1874481820354419,59.83252230332528,47
30,expected,-0.017235684233248793,-163.16747769667472,47
30,unexpected,0.08101058455382706,-96.16747769667472,47
30,expected,-0.07826589111449436,-81.16747769667472,47
30,expected,-0.07838757397882645,56.83252230332528,47
30,expected,0.034068465273773184,-50.16747769667472,47
30,expected,0.1957664619862279,-22.167477696674723,47
30,expected,-0.014680538583629632,-26.167477696674723,47
30,expected,0.05424623713817951,-90.16747769667472,47
30,expected,0.1690496816431067,589.8325223033253,47
30,expected,-0.041629442900112015,-169.16747769667472,47
30,expected,-0.08639193226918258,-116.16747769667472,47
30,unexpected,-0.05952152280182741,155.83252230332528,47
30,expected,0.25372498976845087,-129.16747769667472,47
30,unexpected,-0.15146038097619755,-40.16747769667472,47
30,expected,0.11670028458408281,84.83252230332528,47
30,expected,0.01843197566410839,-69.16747769667472,47
30,expected,-0.07269762994111417,-125.16747769667472,47
30,expected,0.05993597646219841,70.83252230332528,47
30,expected,0.11050098332155814,-26.167477696674723,47
30,expected,0.006904003212561616,-196.16747769667472,47
30,expected,-0.07789396905769821,-248.16747769667472,47
30,expected,0.17362191646683253,-240.16747769667472,47
30,expected,-0.021594473161036333,55.83252230332528,47
30,unexpected,0.0408124162989147,-15.167477696674723,47
30,expected,0.029618658393920326,-77.16747769667472,47
30,unexpected,0.20892372523703298,255.83252230332528,47
30,expected,-0.014737655511067116,-140.16747769667472,47
