trl,alpha1_opt,alpha2_opt,alpha3_opt
123,0.0301717093514258,0.726715594195238,0.0288111383837616
124,0.177076364660136,0.720508701707694,0.0286831203271034
125,0.026163605463588,0.725948784413077,0.0286842738251965
126,0.0286648797567,0.725409531517744,0.0282687338504805
127,0.19613955321647,0.720691942114244,0.0281956927474557
128,0.207957599640815,0.70320994820423,0.028377703096172
129,0.1336794803195,0.68913376720058,0.0288530839747834
130,0.189303850320058,0.681999162137454,0.0291604526794679
131,0.174015477712252,0.683975604662237,0.0292457328113109
132,0.118088211980387,0.693812163177979,0.0289777720631014
133,0.0853181735443537,0.707458836380254,0.0284616229301577
134,0.125452193673078,0.705550619728052,0.0278451152975896
135,0.118929946769811,0.710884078514649,0.0277120252617347
136,0.150334497718335,0.721640590096033,0.0273568662666046
137,0.0484422731855482,0.738771477087717,0.0268389714283691
138,0.0181301594113277,0.754730664677901,0.0261343263990893
139,0.0504567384769608,0.762005119859266,0.0254970338132895
140,0.0496687285582409,0.770735776945504,0.0251270623301178
141,0.10538962962159,0.780609487021253,0.0247364559573396
142,0.129203683604764,0.795334404495381,0.0243416613993928
143,0.0929229371023796,0.815576041392233,0.0238394619125299
144,0.088879992515328,0.837936566332084,0.023221212157407
145,0.108785065714783,0.861940655406567,0.0225897338454819
146,0.0392731148315119,0.888857854408182,0.0219568704136029
147,0.0391678628593973,0.913484697902982,0.0212951183165635
148,0.100772479974256,0.936351584670463,0.020721477785814
149,0.131461121326917,0.962424385421444,0.0202895650082351
150,0.0584587486023105,0.920469535249254,0.0199464171421738
151,0.154081463691618,0.895349025447841,0.0206550700814826
152,0.104778725741362,0.889578905787453,0.0210788755359623
153,0.0970403978153011,0.89360831752356,0.0211145514797259
154,0.0909173559507151,0.904363364802767,0.0209525506497594
155,0.0094550039516014,0.919887555519712,0.0206603502902107
156,0.116544842372379,0.926976050174991,0.020285469116218
157,0.0411290451752389,0.941731869762316,0.0200837089416933
158,0.0827684396939515,0.956791687638806,0.0197440582996227
159,0.138632244676524,0.975405382851388,0.01948261742982
160,0.0231093357965262,0.924772464693991,0.0192882399353666
161,0.217705133978973,0.880774632833585,0.0202172710834361
162,0.155033627118392,0.812844437305166,0.0211458704865373
163,0.0592467605688335,0.776536465835812,0.0225482932248523
164,0.030934433972153,0.754837325640963,0.023307339328615
165,0.180133401909251,0.73495380848706,0.0237509999347501
166,0.160029966546289,0.731158884042557,0.0241872752737434
167,0.0780661445538742,0.738123787642403,0.024203027414845
168,0.09740514005344,0.729201991945902,0.0239414096276698
169,0.183246377883275,0.711294244693131,0.0241036404419261
170,0.0527762711282907,0.707887088793298,0.0244886535292972
171,0.0264179859224335,0.708226230304685,0.0244312217497651
172,0.164342919713255,0.704414279016248,0.0242860450022774
173,0.0502127287773089,0.710757297157566,0.0242689120217068
174,0.109699220869912,0.718335676013673,0.0239477651056215
175,0.0717320303223105,0.730624803252848,0.0236409418043313
176,0.184921496019973,0.72594057974295,0.0233276133901696
177,0.119985795906441,0.703572835288868,0.0234823293944253
178,0.201588308652747,0.683005618695614,0.0240543193586331
179,0.0499895283824778,0.668749685998821,0.0245734392742031
180,0.119135287993078,0.659543365657883,0.0248672595416034
181,0.0465351939142654,0.650969824862812,0.0250158487474859
182,0.185025984241242,0.644958484317445,0.0251588208519752
183,0.173741596267736,0.644621404993436,0.0252669838537699
184,0.161203478328204,0.650739962324396,0.0251688212133213
185,0.0488015097802764,0.662563875848896,0.0248357212006606
186,0.10985475358857,0.673710415039589,0.02431816669437
187,0.139582863829419,0.68788264824156,0.0238596917095146
188,0.0991208293398347,0.706430236000347,0.0233351299681957
189,0.0156196010994494,0.726520720282542,0.0227057737917078
190,0.0469051262965943,0.737984476709056,0.0220635059630571
191,0.0650518613141167,0.749658392382227,0.0216983352806147
192,0.152414545799721,0.743611881787191,0.0213532261194954
193,0.0483681704262096,0.748710653711987,0.0214153932394153
194,0.0475032392755353,0.755638993543236,0.0211947081381336
195,0.016282624109332,0.76397302767532,0.0209381378274247
196,0.137374576627202,0.765719188164672,0.0206625159373564
197,0.0966892702529518,0.776032105740126,0.020550804875035
198,0.0916594247099154,0.790412506774272,0.020244498152235
199,0.143365635497834,0.807794033044891,0.0199385740646091
200,0.124251831349119,0.782562043488503,0.0196546480407532
201,0.113397241419416,0.77272996104463,0.0201295366420621
202,0.137281014407956,0.773035853639433,0.0202804179080843
203,0.0454847928694253,0.78235664137978,0.0202033246077346
204,0.122006462505049,0.792609966389176,0.0199264342508642
205,0.0421390168851068,0.808725109763905,0.0196412965022248
206,0.0867047359629689,0.824345807722865,0.019241188189996
207,0.0827277605206995,0.842677331683226,0.0188714331561566
208,0.0386112788452901,0.863064122726412,0.0184643526342035
209,0.0376456808466614,0.882287817699902,0.0180544506868759
210,0.12218391798948,0.879800983494209,0.0176865158131547
211,0.147858296118034,0.886978497771823,0.0177499587000225
212,0.0585575902052768,0.842159325718558,0.0177160996030899
213,0.0549666733012769,0.81458387734153,0.018474682817356
214,0.114031576810492,0.7984048120473,0.01895433777103
215,0.104786633593939,0.794396337640225,0.0192271961041374
216,0.126292200091943,0.798578331428761,0.01925408923377
217,0.012100533603502,0.810348202972842,0.0191112603143691
218,0.0565482734738599,0.815017793446883,0.0188335327225804
219,0.180554812329654,0.800763586159015,0.0187792672551916
220,0.116111741673552,0.758157456882734,0.0191417939485603
221,0.055560292493546,0.718959196660642,0.0200076226745699
222,0.0381093349906844,0.693866670661995,0.0208402413080631
223,0.128980760105327,0.67381235902791,0.0213859053107964
224,0.0337166535002128,0.664264938220253,0.0218279208417756
225,0.0506097897214333,0.654812470177835,0.0219765288389209
226,0.0332400637890914,0.649771892473011,0.0221261217652981
227,0.107202247672055,0.643699432542886,0.0221765724638329
228,0.0404814963964973,0.634950027025623,0.0222608095855514
229,0.120658906936817,0.627657936307243,0.0224101197252249
230,0.0372274978345259,0.624649722033508,0.0225231482738619
231,0.179513391410896,0.621005985510968,0.0225426230546202
232,0.176479999366567,0.616965178423662,0.0226307747225399
233,0.0473413214962971,0.61710598269725,0.022673927048197
234,0.174902207094416,0.618390297390622,0.022607744095719
235,0.117584314030059,0.614842275448219,0.0225375090223501
236,0.117461564481568,0.613855701651643,0.0225547910412423
237,0.0474994601212445,0.616144359022202,0.0224778699388471
238,0.172227065947739,0.619229315813776,0.022354993040411
239,0.174163905948745,0.615419758104636,0.0222572977006269
240,0.164040493634232,0.616434789877513,0.0223181268870775
241,0.111328212337207,0.622824299919847,0.0222085910602134
242,0.145499135688687,0.63219222673984,0.0219305348203902
243,0.135573685832642,0.645940168952756,0.0215810765061616
244,0.0964356178780134,0.663182202630495,0.0211153468934572
245,0.0930535611909576,0.681610177592319,0.0205726012305249
246,0.116461488885227,0.701103477284517,0.0200318010826187
247,0.0404610079024861,0.722996567362271,0.0194937835635892
248,0.0848592828606037,0.742812555165162,0.0189278930041345
249,0.104733642455613,0.763696711231577,0.0184446057172028
250,0.0376229267927735,0.786794298887782,0.0179647302550687
251,0.0773299762647399,0.80793555690338,0.0174660310925665
252,0.0947164593676626,0.830016702457371,0.0170347983506726
253,0.0898536259663738,0.854072579366669,0.0166110280352073
254,0.0855909749710556,0.879648271744858,0.0161768818047154
255,0.00541548530978992,0.90641314138167,0.0157419451536102
256,0.0694115142999598,0.925608383557609,0.0153120222382312
257,0.0668335756494266,0.946282862028048,0.0150151775677591
258,0.024436929055895,0.9681286609358,0.0147196835309887
259,0.138534001518185,0.969969671673365,0.0144552352760409
260,0.0896547216095788,0.908019407197657,0.0145404575490041
261,0.0312119226290463,0.840112976000558,0.0154084035125485
262,0.215721931555869,0.787077538303385,0.0165235709521556
263,0.0560142298910827,0.731965946393074,0.0175137026690216
264,0.0536947587650798,0.696034211401985,0.0185854869208
265,0.0370707048271551,0.672706868245197,0.0193332402567186
266,0.188977950885299,0.653957527189581,0.0198744021957296
267,0.0451179459333876,0.63709740005923,0.0203311241639561
268,0.179046008977937,0.625110354341349,0.0207242347286877
269,0.106838548673136,0.619746135514163,0.0210223932675157
270,0.045287761151358,0.612868261455328,0.0210991705443036
271,0.116587142043942,0.608398767415281,0.021208552916414
272,0.162331475258324,0.607750992533953,0.0212754884313356
273,0.109967503427489,0.612584514107802,0.0212298658572766
274,0.143914397233953,0.620551555959584,0.021015613283156
275,0.13412431317455,0.632912911654722,0.0207238697887204
276,0.0436172455442216,0.648780149384523,0.0203101173293926
277,0.124342022878764,0.663258779475625,0.0198186224272339
278,0.0895749100844409,0.680986566840392,0.0193926082914821
279,0.135781586311004,0.699800351396979,0.0189758786506704
280,0.0502932317116155,0.689666121504931,0.0185903067018968
281,0.109610716212559,0.684798360004356,0.0187657615932178
282,0.135989716319966,0.687066817998923,0.0188307570338898
283,0.124853117216126,0.696236497042855,0.018732424537923
284,0.0420902197586376,0.710308489508827,0.0184714911794756
285,0.0133069984796964,0.723809868096358,0.0181050041387379
286,0.0932804710496766,0.730786890556355,0.0177674733494729
287,0.0884360657125726,0.741788939945062,0.0175807619129256
288,0.0403123991661492,0.755777990016831,0.0173156443662509
289,0.0399119466021452,0.769411693578024,0.0169988198521858
290,0.0103216251205493,0.782808462278824,0.016702060107685
291,0.0415047110723653,0.78975716632516,0.0164198663701594
292,0.0847260830917821,0.797942032154218,0.0162643229018388
293,0.0389208708705713,0.809879476049701,0.016091764639884
294,0.100693468638992,0.822027209700686,0.0158597239108598
295,0.0742610064211024,0.838228264236031,0.0156340974442353
296,0.0902504346329204,0.856228351504162,0.0153501620620086
297,0.0676730127976812,0.876762394817895,0.0150502123753455
298,0.0266194227894739,0.898181375408334,0.0147341171918293
299,0.135651145359274,0.901204086125026,0.014454284678579
300,0.12356853381355,0.851530459090392,0.0144969979275856
301,0.0720049095570073,0.824742639753722,0.0152409773347011
302,0.163773942622777,0.786049869921744,0.0156723664228534
303,0.173191581167173,0.768749553945496,0.0163787534215226
304,0.203191149378713,0.727683798140925,0.0168018262108808
305,0.0517299720063392,0.686945494975733,0.017635306514641
306,0.126983352785352,0.659656480983068,0.0184829051627532
307,0.120458684170106,0.644113252965037,0.0190893708823531
308,0.156944783585948,0.637413993750239,0.0194343797588947
309,0.143396536137898,0.639239462450003,0.0195635884256095
310,0.13216841054576,0.647367596839164,0.0194666440524699
311,0.0431895471952752,0.660159246256056,0.0192014432295479
312,0.0429754799489741,0.672340105235324,0.0188208174254397
313,0.11931077514936,0.684125996167278,0.0184763620443101
314,0.111394939440348,0.699781377836563,0.0181614779709565
315,0.0814781963952466,0.718311446597923,0.0177713852490228
316,0.0378313809248455,0.737783686778587,0.0173353664259781
317,0.037732097648148,0.755762095393334,0.0169010487245019
318,0.0407585815279791,0.772594527321086,0.0165330212312036
319,0.0436706314298411,0.772447670702777,0.0162024691205737
320,0.0125547566913703,0.775085459476461,0.0161752886337056
321,0.0441927632915396,0.773013614924305,0.0160968932926745
322,0.0904599133147342,0.774188048210013,0.0161066139324031
323,0.109148945110984,0.780775050608145,0.0160617579013344
324,0.0793179691469196,0.792715452260155,0.0159212355021638
325,0.0963688803411199,0.807245894855896,0.0156901768586687
326,0.0350739990246597,0.824947770509044,0.0154228715919326
327,0.0708916133700628,0.841766469597742,0.0151130977755713
328,0.00634132845306899,0.860070180996011,0.0148314704138506
329,0.0723954960330805,0.872006097122329,0.0145381589980747
330,0.0341709837163087,0.886513168719933,0.014350003117601
331,0.0682827700833012,0.900818534440722,0.0141308778741654
332,0.0655391086797943,0.917145066505896,0.013923167270923
333,0.0793337033608413,0.935056734696252,0.0136960549438657
334,0.030076690383439,0.955196169918586,0.0134567947178672
335,0.0597322973143431,0.974325214204205,0.0131986775301186
336,0.0723943430892221,0.994474070672591,0.012964387645911
